Catégorie de produits,Produit,Quantité restante,Prix de vente unitaire,Valeur marchande,Prix d'achat moyen,Valorisation,Code EAN,Type de stock,Taux de TVA
MASK,"6,71 Blond Foncé Beige Cendré",2,0,,13.8,27.6,8004608251729,Stock technique,20.00 %
MASK,"77,0 Blond Intense",0,0,,0,0,8004608251163,Stock technique,20.00 %
MASK,"7,1 Blond Cendré",4,0,,13.8,55.2,8004608251279,Stock technique,20.00 %
MASK,"7,18 Blond Cendré Vert",1,0,,13.8,13.8,8004608266266,Stock technique,20.00 %
MASK,"7,32 Blond Doré Irisé",2,0,,13.8,27.6,8004608251507,Stock technique,20.00 %
MASK,"7,4 Blond Cuivré",3,0,,13.8,41.4,8004608251576,Stock technique,20.00 %
MASK,"88,0 Blond Clair Intense",3,0,,13.8,41.4,8004608251170,Stock technique,20.00 %
MASK,"88,1 Blond Clair Intense Cendré",3,0,,13.8,41.4,8004608274773,Stock technique,20.00 %
MASK,"8,44 Blond Clair Cuivré Intense",4,0,,13.8,55.2,8004608251583,Stock technique,20.00 %
MASK,"8,72 Blond Clair Beige Irisé",1,0,,13.8,13.8,8004608265153,Stock technique,20.00 %
MASK,"99,0 Blond Très Clair Intense",2,0,,13.8,27.6,8004608251187,Stock technique,20.00 %
MASK,"9,04 Blond Très Clair Naturel Cuivré",3,0,,13.8,41.4,8004608251590,Stock technique,20.00 %
MASK,"9,1 Blond Très Clair Cendré",3,0,,13.8,41.4,8004608251293,Stock technique,20.00 %
MASK,"9,11 Blond Très Clair Cendré Intense",1,0,,13.8,13.8,8004608256625,Stock technique,20.00 %
MASK,"99,1 Blond Très Clair Intense Cendré",2,0,,13.8,27.6,8004608274780,Stock technique,20.00 %
MASK,"9,22 Blond Très Clair Irisé Intense",1,0,,13.8,13.8,8004608268468,Stock technique,20.00 %
MASK,"10,01 Blond Très Clair Platiné Naturel Cendré",2,0,,13.8,27.6,8004608251309,Stock technique,20.00 %
MASK,"10,12 Blond Très Clair Platiné Cendré Irisé",2,0,,13.8,27.6,8004608251347,Stock technique,20.00 %
MASK,"10,21 Blond Très Clair Platiné Irisé Cendré",2,0,,13.8,27.6,8004608260592,Stock technique,20.00 %
